 Håvard Lucasen Ås-UMB Orientering;-H21_H1_splits;;1497;0.85554;55,62,59,43,223,93,61,146,38,343,82,71,57,81,40,27,16;0.975,0.967741935483871,0.995762711864407,0.837209302325581,0.948991031390135,1.01478494623656,0.997950819672131,1.03681506849315,0.970394736842105,0.438775510204082,0.971036585365854,0.922535211267606,1.01535087719298,1.04938271604938,0.940625,0.986111111111111,0.90625;17;17
 Arild Nomeland Kristiansand OK;-H21_H1_splits;;1504;0.85156;57,69,62,36,222,109,66,156,80,208,92,109,58,90,45,29,16;0.940789473684211,0.869565217391304,0.94758064516129,1,0.953265765765766,0.865825688073395,0.922348484848485,0.970352564102564,0.4609375,0.723557692307692,0.865489130434783,0.600917431192661,0.997844827586207,0.944444444444444,0.836111111111111,0.918103448275862,0.90625;17;17
 Eirik Martens Svensen Kristiansand OK;-H21_H1_splits;;1523;0.84094;62,67,61,36,234,215,63,158,70,167,85,70,63,89,38,29,16;0.86491935483871,0.895522388059702,0.963114754098361,1,0.904380341880342,0.438953488372093,0.966269841269841,0.958069620253165,0.526785714285714,0.901197604790419,0.936764705882353,0.935714285714286,0.918650793650794,0.955056179775281,0.990131578947368,0.918103448275862,0.90625;17;17
 Daniel Marston Bækkelagets SK;-H21_H1_splits;;1542;0.83058;62,70,69,41,372,108,63,152,36,156,95,82,63,88,40,29,16;0.86491935483871,0.857142857142857,0.851449275362319,0.878048780487805,0.568884408602151,0.873842592592593,0.966269841269841,0.995888157894737,1.02430555555556,0.96474358974359,0.838157894736842,0.798780487804878,0.918650793650794,0.965909090909091,0.940625,0.918103448275862,0.90625;17;17
 Dag Steinar Ragvin Bø OL;-H21_H1_splits;;1561;0.82047;67,74,74,59,260,102,75,177,44,159,118,73,72,112,49,30,16;0.800373134328358,0.810810810810811,0.793918918918919,0.610169491525424,0.813942307692308,0.925245098039216,0.811666666666667,0.855225988700565,0.838068181818182,0.946540880503145,0.67478813559322,0.897260273972603,0.803819444444444,0.758928571428571,0.767857142857143,0.8875,0.90625;17;17
 Erik Axelsson Halden SK;-H21_H1_splits;;1586;0.80753;54,62,59,44,226,96,65,181,37,381,85,65,58,90,37,30,16;0.993055555555556,0.967741935483871,0.995762711864407,0.818181818181818,0.936393805309734,0.983072916666667,0.936538461538462,0.836325966850829,0.996621621621622,0.39501312335958,0.936764705882353,1.00769230769231,0.997844827586207,0.944444444444444,1.01689189189189,0.8875,0.90625;17;17
 Espen Fiskum NTNUI;-H21_H1_splits;;1602;0.79947;63,74,63,43,241,110,65,162,44,332,88,81,62,93,42,26,13;0.851190476190476,0.810810810810811,0.932539682539683,0.837209302325581,0.878112033195021,0.857954545454545,0.936538461538462,0.934413580246914,0.838068181818182,0.453313253012048,0.904829545454545,0.808641975308642,0.933467741935484,0.913978494623656,0.895833333333333,1.02403846153846,1.11538461538462;17;17
 Anders Einum NTNUI;-H21_H1_splits;;1606;0.79748;53,86,56,40,288,164,58,154,115,146,87,85,59,99,66,31,19;1.01179245283019,0.697674418604651,1.04910714285714,0.9,0.734809027777778,0.575457317073171,1.04956896551724,0.982954545454545,0.320652173913043,1.03082191780822,0.915229885057471,0.770588235294118,0.980932203389831,0.858585858585859,0.570075757575758,0.858870967741935,0.763157894736842;17;17
 Anders Henriksson NTNUI;-H21_H1_splits;;1620;0.79059;60,68,126,60,211,89,72,315,43,167,86,63,66,100,45,31,18;0.89375,0.882352941176471,0.466269841269841,0.6,1.00296208530806,1.06039325842697,0.845486111111111,0.480555555555556,0.857558139534884,0.901197604790419,0.925872093023256,1.03968253968254,0.876893939393939,0.85,0.836111111111111,0.858870967741935,0.805555555555556;17;17
 Erik Lima Ganddal IL;-H21_H1_splits;;1630;0.78574;59,69,69,37,237,168,65,178,44,194,100,146,78,91,51,29,15;0.908898305084746,0.869565217391304,0.851449275362319,0.972972972972973,0.892932489451477,0.561755952380952,0.936538461538462,0.850421348314607,0.838068181818182,0.775773195876289,0.79625,0.448630136986301,0.74198717948718,0.934065934065934,0.737745098039216,0.918103448275862,0.966666666666667;17;17
 Bjørnar Valstad Bækkelagets SK;-H21_H1_splits;;1641;0.78047;56,62,63,69,219,103,72,167,38,338,94,101,68,96,44,35,16;0.957589285714286,0.967741935483871,0.932539682539683,0.521739130434783,0.966324200913242,0.91626213592233,0.845486111111111,0.906437125748503,0.970394736842105,0.445266272189349,0.847074468085106,0.648514851485149,0.851102941176471,0.885416666666667,0.855113636363636,0.760714285714286,0.90625;17;17
 Espen Rognsvåg Fana IL;-H21_H1_splits;;1755;0.72977;82,73,65,51,470,119,72,166,39,197,88,91,57,96,41,32,16;0.653963414634146,0.821917808219178,0.903846153846154,0.705882352941177,0.450265957446809,0.793067226890756,0.845486111111111,0.911897590361446,0.94551282051282,0.763959390862944,0.904829545454545,0.71978021978022,1.01535087719298,0.885416666666667,0.917682926829268,0.83203125,0.90625;17;17
 Anders Beyer Brattli NTNUI;-H21_H1_splits;;1811;0.70721;58,71,70,57,238,283,72,215,62,175,138,114,67,102,43,30,16;0.924568965517241,0.845070422535211,0.839285714285714,0.631578947368421,0.889180672268908,0.333480565371025,0.845486111111111,0.70406976744186,0.594758064516129,0.86,0.576992753623188,0.574561403508772,0.863805970149254,0.833333333333333,0.875,0.8875,0.90625;17;17
